,company,level,title,totalyearlycompensation,yearsofexperience,yearsatcompany,tag,gender,cityid,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
15710,google,L6,Software Engineer,400000,5.0,5.0,Distributed Systems (Back-End),Male,7472,807.0,0,0,1,0,0,1,0,0,0,0
23532,microsoft,other,Software Engineer,136000,3.0,2.0,DevOps,Male,11521,819.0,0,1,0,0,0,0,0,1,0,0
23533,google,L5,Software Engineer,337000,6.0,6.0,Full Stack,Male,7413,807.0,0,1,0,0,0,1,0,0,0,0
23534,microsoft,other,Software Engineer,222000,4.0,4.0,API Development (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23535,other,other,Software Engineer,187000,5.0,0.0,Full Stack,Male,7419,807.0,0,1,0,0,0,0,1,0,0,0
23537,amazon,L6,Software Engineer,310000,15.0,3.0,ML / AI,Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
23538,other,other,Software Engineer,113000,3.0,3.0,DevOps,Male,11109,618.0,0,1,0,0,0,0,0,0,0,1
23540,amazon,L7,Software Engineering Manager,620000,19.0,7.0,Full Stack,Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
23541,other,L6,Software Engineer,98000,9.0,4.0,Web Development (Front-End),Male,1206,0.0,0,1,0,0,0,1,0,0,0,0
23543,apple,other,Software Engineer,180000,1.0,1.0,ML / AI,Male,1320,0.0,0,1,0,0,0,1,0,0,0,0
23544,other,other,Software Engineer,212000,5.0,1.0,Full Stack,Male,7419,807.0,0,0,0,0,1,0,0,0,1,0
23545,amazon,L5,Software Engineer,210000,4.0,1.0,other,Male,11527,819.0,0,0,0,1,0,0,0,0,0,1
23546,salesforce,other,Software Engineer,68000,8.0,1.0,other,Male,4058,0.0,1,0,0,0,0,1,0,0,0,0
23547,other,other,Software Engineer,79000,4.0,2.0,Distributed Systems (Back-End),Male,6580,0.0,0,1,0,0,0,0,1,0,0,0
23548,amazon,L4,Software Engineer,142000,0.0,0.0,Full Stack,Male,7053,753.0,1,0,0,0,0,1,0,0,0,0
23549,intel,other,Software Engineer,129000,6.0,4.0,other,Male,7434,807.0,1,0,0,0,0,0,0,1,0,0
23550,facebook,other,Software Engineer,242000,2.0,2.0,ML / AI,Male,7300,807.0,1,0,0,0,0,0,1,0,0,0
23552,other,other,Software Engineer,215000,6.0,0.0,other,Male,10965,635.0,1,0,0,0,0,1,0,0,0,0
23553,other,other,Software Engineer,365000,10.0,6.0,other,Male,10182,501.0,0,0,0,1,0,0,1,0,0,0
23554,microsoft,other,Software Engineer,135000,1.0,0.0,other,Female,11527,819.0,0,1,0,0,0,0,0,0,0,1
23555,microsoft,other,Software Engineer,173000,10.0,2.0,ML / AI,Male,11521,819.0,0,1,0,0,0,1,0,0,0,0
23556,intel,other,Hardware Engineer,134000,6.0,6.0,other,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
23557,other,other,Software Engineer,121000,9.0,4.0,DevOps,Male,10965,635.0,1,0,0,0,0,0,0,0,0,1
23558,microsoft,other,Software Engineer,328000,12.0,0.0,other,Male,7419,807.0,0,1,0,0,0,1,0,0,0,0
23559,other,other,Software Engineer,300000,15.0,0.0,Full Stack,Male,8198,602.0,1,0,0,0,0,0,1,0,0,0
23562,facebook,other,Software Engineering Manager,309000,14.0,2.0,DevOps,Male,7300,807.0,1,0,0,0,0,0,0,1,0,0
23564,google,L3,Software Engineer,46000,2.0,0.0,Distributed Systems (Back-End),Male,4058,0.0,0,1,0,0,0,1,0,0,0,0
23565,other,other,Software Engineer,493000,10.0,0.0,Full Stack,Female,7322,807.0,1,0,0,0,0,1,0,0,0,0
23566,other,other,Software Engineer,190000,10.0,6.0,Distributed Systems (Back-End),Male,7275,803.0,1,0,0,0,0,1,0,0,0,0
23567,facebook,other,Software Engineer,255000,6.0,2.0,ML / AI,Male,7300,807.0,1,0,0,0,0,1,0,0,0,0
23568,other,other,Software Engineer,260000,15.0,2.0,Full Stack,Male,11527,819.0,0,1,0,0,0,0,1,0,0,0
23574,amazon,L5,Software Engineer,50000,3.0,3.0,Full Stack,Male,16743,0.0,0,1,0,0,0,1,0,0,0,0
23575,salesforce,other,Software Engineer,74000,7.0,0.0,Full Stack,Male,6453,0.0,1,0,0,0,0,1,0,0,0,0
23577,other,other,Software Engineer,30000,2.0,2.0,other,Male,6457,0.0,0,1,0,0,0,1,0,0,0,0
23578,other,other,Software Engineer,275000,10.0,3.0,Full Stack,Female,8816,506.0,1,0,0,0,0,0,1,0,0,0
23579,other,other,Software Engineer,287000,19.0,3.0,Distributed Systems (Back-End),Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
23580,other,other,Product Designer,144000,7.0,2.0,other,Female,10182,501.0,1,0,0,0,0,1,0,0,0,0
23583,other,other,Management Consultant,266000,14.0,3.0,other,Male,10965,635.0,1,0,0,0,0,1,0,0,0,0
23585,apple,other,Product Manager,309000,10.0,1.0,other,Male,7158,807.0,0,1,0,0,0,0,0,0,0,1
23586,amazon,L4,Software Engineer,189000,2.0,0.0,other,Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
23588,amazon,L6,Product Manager,347000,18.0,3.0,other,Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23590,other,other,Solution Architect,74000,17.0,0.0,Full Stack,Male,16743,0.0,0,1,0,0,0,1,0,0,0,0
23591,amazon,L7,Software Engineer,550000,10.0,6.0,Distributed Systems (Back-End),Male,8816,506.0,0,0,1,0,0,0,1,0,0,0
23596,other,other,Software Engineer,232000,5.0,0.0,ML / AI,Male,7434,807.0,0,0,1,0,0,0,0,1,0,0
23598,other,other,Software Engineer,135000,6.0,6.0,API Development (Back-End),Male,9594,517.0,0,1,0,0,0,0,1,0,0,0
23601,facebook,IC4,Software Engineer,272000,2.0,0.0,other,Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
23603,other,other,Management Consultant,100000,0.0,0.0,other,Male,10182,501.0,0,1,0,0,0,0,1,0,0,0
23604,other,other,Software Engineer,800000,15.0,8.0,Distributed Systems (Back-End),Male,10182,501.0,0,1,0,0,0,0,1,0,0,0
23605,facebook,other,Software Engineer,272000,5.0,0.0,other,Other,11527,819.0,0,1,0,0,0,0,1,0,0,0
23606,apple,other,Software Engineer,162000,0.0,0.0,ML / AI,Female,7434,807.0,0,1,0,0,0,0,1,0,0,0
23607,other,L4,Software Engineer,99000,3.0,1.0,Web Development (Front-End),Male,5906,0.0,0,1,0,0,0,0,1,0,0,0
23608,other,other,Software Engineer,190000,4.0,4.0,Distributed Systems (Back-End),Male,7422,807.0,0,1,0,0,0,1,0,0,0,0
23609,amazon,L5,Software Engineer,252000,4.0,0.0,Full Stack,Male,11342,511.0,0,1,0,0,0,1,0,0,0,0
23610,other,other,Software Engineer,89000,4.0,2.0,Distributed Systems (Back-End),Male,1206,0.0,0,1,0,0,0,1,0,0,0,0
23611,other,other,Product Manager,230000,20.0,15.0,other,Male,7351,807.0,1,0,0,0,0,0,1,0,0,0
23613,amazon,other,Solution Architect,181000,10.0,2.0,DevOps,Male,7141,803.0,0,1,0,0,0,0,0,0,1,0
23614,other,other,Software Engineer,381000,5.0,5.0,Full Stack,Male,7419,807.0,1,0,0,0,0,0,1,0,0,0
23617,oracle,other,Software Engineer,176000,0.0,0.0,other,Female,7536,751.0,0,1,0,0,0,0,1,0,0,0
23618,other,other,Software Engineer,162000,5.0,2.0,API Development (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23620,google,L4,Software Engineer,289000,6.0,1.0,Distributed Systems (Back-End),Male,7322,807.0,1,0,0,0,0,1,0,0,0,0
23622,facebook,E5,Software Engineer,334000,11.0,3.0,Full Stack,Male,7300,807.0,1,0,0,0,0,0,0,0,0,1
23623,microsoft,other,Software Engineering Manager,441000,13.0,9.0,ML / AI,Other,11470,819.0,1,0,0,0,0,0,1,0,0,0
23624,other,other,Product Manager,42000,7.0,5.0,other,Male,42498,0.0,1,0,0,0,0,1,0,0,0,0
23627,other,other,Software Engineer,107000,4.0,4.0,other,Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
23628,other,other,Software Engineer,275000,5.0,0.0,Web Development (Front-End),Male,7322,807.0,0,1,0,0,0,1,0,0,0,0
23631,other,other,Solution Architect,213000,10.0,2.0,DevOps,Male,7419,807.0,0,1,0,0,0,0,1,0,0,0
23632,other,L6,other,370000,15.0,1.0,other,Male,8198,602.0,0,1,0,0,0,0,1,0,0,0
23634,other,other,Technical Program Manager,175000,16.0,3.0,other,Female,10965,635.0,0,1,0,0,0,0,1,0,0,0
23636,other,other,Software Engineer,155000,4.0,0.0,Full Stack,Female,10182,501.0,0,1,0,0,0,0,1,0,0,0
23639,other,other,Software Engineer,165000,3.0,1.0,Full Stack,Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
23640,other,other,Software Engineer,215000,6.0,0.0,API Development (Back-End),Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
23641,other,other,Management Consultant,90000,0.0,0.0,other,Male,7153,803.0,0,1,0,0,0,1,0,0,0,0
23642,other,L4,Management Consultant,154000,6.0,5.0,other,Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
23643,other,other,Software Engineer,390000,6.0,0.0,Distributed Systems (Back-End),Male,7419,807.0,1,0,0,0,0,1,0,0,0,0
23645,other,other,Management Consultant,100000,2.0,2.0,other,Male,8198,602.0,0,1,0,0,0,0,1,0,0,0
23646,other,other,Software Engineer,140000,8.0,8.0,API Development (Back-End),Male,11433,511.0,0,1,0,0,0,1,0,0,0,0
23649,intel,other,Hardware Engineer,125000,7.0,5.0,other,Male,10965,635.0,1,0,0,0,0,1,0,0,0,0
23650,microsoft,other,Software Engineer,227000,6.0,0.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23651,other,L3,Software Engineer,147000,5.0,2.0,Full Stack,Male,7275,803.0,1,0,0,0,0,0,1,0,0,0
23654,other,other,Software Engineer,233000,9.0,4.0,Full Stack,Male,12008,0.0,1,0,0,0,0,1,0,0,0,0
23655,google,L5,Software Engineer,354000,12.0,12.0,other,Male,7322,807.0,0,0,1,0,0,1,0,0,0,0
23658,microsoft,other,Software Engineer,156000,7.0,7.0,Distributed Systems (Back-End),Female,11521,819.0,0,1,0,0,0,1,0,0,0,0
23660,other,L5,Software Engineer,150000,0.0,0.0,API Development (Back-End),Female,10182,501.0,0,1,0,0,0,0,1,0,0,0
23662,ibm,other,Solution Architect,157000,13.0,1.0,DevOps,Male,7275,803.0,1,0,0,0,0,1,0,0,0,0
23663,ibm,other,Software Engineer,194000,13.0,13.0,Distributed Systems (Back-End),Male,30610,506.0,0,1,0,0,0,1,0,0,0,0
23664,other,L3,Software Engineer,250000,9.0,7.0,other,Male,10182,501.0,1,0,0,0,0,0,1,0,0,0
23665,microsoft,other,Software Engineer,167000,6.0,3.0,Distributed Systems (Back-End),Male,11521,819.0,1,0,0,0,0,1,0,0,0,0
23666,other,other,Software Engineer,128000,3.0,1.0,other,Male,7472,807.0,0,1,0,0,0,0,1,0,0,0
23668,microsoft,other,Hardware Engineer,188000,4.0,1.0,other,Female,7472,807.0,1,0,0,0,0,1,0,0,0,0
23669,amazon,L5,Software Engineer,215000,3.0,1.0,Web Development (Front-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23672,apple,other,Hardware Engineer,202000,3.0,2.0,other,Male,7158,807.0,0,1,0,0,0,0,1,0,0,0
23673,facebook,other,Software Engineer,185000,0.0,0.0,Full Stack,Male,7300,807.0,1,0,0,0,0,1,0,0,0,0
23675,amazon,L7,Technical Program Manager,300000,16.0,4.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23676,other,other,Technical Program Manager,272000,22.0,5.0,other,Male,7275,803.0,1,0,0,0,0,0,1,0,0,0
23677,other,L3,Technical Program Manager,265000,7.0,1.0,Full Stack,Male,7419,807.0,0,1,0,0,0,0,1,0,0,0
23678,google,other,Technical Program Manager,247000,3.0,0.0,Full Stack,Male,7322,807.0,0,1,0,0,0,0,1,0,0,0
23679,google,L3,Data Scientist,170000,3.0,3.0,ML / AI,Male,7419,807.0,0,1,0,0,0,0,1,0,0,0
23680,other,other,Software Engineer,215000,9.0,2.0,Full Stack,Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23683,other,L3,Product Manager,271000,10.0,1.0,other,Male,7419,807.0,1,0,0,0,0,0,1,0,0,0
23684,other,other,Software Engineer,165000,0.0,0.0,other,Male,10182,501.0,0,1,0,0,0,0,0,0,1,0
23685,facebook,IC4,Data Scientist,205000,0.0,0.0,other,Female,7300,807.0,0,0,1,0,0,1,0,0,0,0
23686,other,other,Software Engineer,73000,2.0,2.0,other,Female,7776,534.0,0,1,0,0,0,0,1,0,0,0
23687,other,other,Software Engineer,232000,20.0,2.0,Full Stack,Male,7419,807.0,1,0,0,0,0,0,0,1,0,0
23689,other,L7,Software Engineering Manager,353000,11.0,7.0,Distributed Systems (Back-End),Male,7392,807.0,0,1,0,0,0,1,0,0,0,0
23690,other,other,Solution Architect,350000,10.0,2.0,other,Male,11527,819.0,1,0,0,0,0,0,1,0,0,0
23691,other,other,Management Consultant,180000,10.0,1.0,other,Female,10965,635.0,1,0,0,0,0,1,0,0,0,0
23692,other,other,Management Consultant,180000,10.0,1.0,other,Female,10965,635.0,1,0,0,0,0,1,0,0,0,0
23694,other,other,Software Engineer,128000,10.0,1.0,DevOps,Male,11582,669.0,0,1,0,0,0,0,1,0,0,0
23695,google,L4,Software Engineer,275000,3.0,3.0,ML / AI,Male,7322,807.0,1,0,0,0,0,1,0,0,0,0
23699,microsoft,other,Data Scientist,220000,4.0,2.0,other,Male,11470,819.0,0,0,1,0,0,0,1,0,0,0
23701,facebook,other,Software Engineering Manager,855000,15.0,0.0,Full Stack,Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23702,other,other,Data Scientist,216000,2.0,0.0,ML / AI,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
23703,amazon,L5,Software Engineer,200000,9.0,3.0,API Development (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23704,amazon,L5,Software Engineer,215000,4.0,3.0,Full Stack,Male,7275,803.0,1,0,0,0,0,1,0,0,0,0
23705,amazon,L4,Software Engineer,146000,0.0,0.0,ML / AI,Male,10182,501.0,0,1,0,0,0,1,0,0,0,0
23706,facebook,other,Software Engineer,151000,3.0,0.0,other,Male,12008,0.0,0,1,0,0,0,1,0,0,0,0
23708,intel,other,Hardware Engineer,54000,6.0,5.0,other,Male,42498,0.0,0,0,1,0,0,1,0,0,0,0
23709,amazon,L6,Technical Program Manager,155000,17.0,2.0,other,Male,12008,0.0,1,0,0,0,0,0,1,0,0,0
23711,other,Senior Software Engineer,Software Engineer,190000,3.0,0.0,Full Stack,Female,10182,501.0,0,1,0,0,0,1,0,0,0,0
23713,other,other,Software Engineer,112000,3.0,3.0,Full Stack,Other,12008,0.0,0,1,0,0,0,0,0,0,0,1
23714,other,other,Management Consultant,150000,15.0,6.0,other,Male,14938,0.0,0,0,1,0,0,1,0,0,0,0
23715,other,other,Software Engineering Manager,350000,10.0,6.0,Distributed Systems (Back-End),Male,3539,0.0,0,1,0,0,0,1,0,0,0,0
23716,other,other,Software Engineering Manager,350000,10.0,6.0,Distributed Systems (Back-End),Male,3539,0.0,0,1,0,0,0,1,0,0,0,0
23717,amazon,L4,Software Engineer,25000,2.0,1.0,Distributed Systems (Back-End),Male,6453,0.0,0,1,0,0,0,1,0,0,0,0
23718,microsoft,other,other,150000,12.0,3.0,other,Male,11527,819.0,1,0,0,0,0,0,1,0,0,0
23720,other,other,Software Engineer,300000,12.0,9.0,Distributed Systems (Back-End),Male,8198,602.0,1,0,0,0,0,0,1,0,0,0
23723,other,other,Software Engineer,124000,12.0,12.0,Web Development (Front-End),Male,40303,511.0,1,0,0,0,0,0,0,0,1,0
23724,amazon,other,Data Scientist,185000,25.0,0.0,Distributed Systems (Back-End),Male,8821,506.0,0,1,0,0,0,0,1,0,0,0
23725,other,other,Software Engineer,134000,3.0,3.0,Web Development (Front-End),Female,10182,501.0,0,1,0,0,0,0,1,0,0,0
23727,other,other,Software Engineer,73000,6.0,2.0,other,Male,4018,0.0,0,1,0,0,0,0,1,0,0,0
23728,google,L5,Product Manager,150000,10.0,1.0,DevOps,Female,12008,0.0,1,0,0,0,0,0,0,1,0,0
23729,other,other,Software Engineer,92000,10.0,0.0,Full Stack,Male,12008,0.0,0,1,0,0,0,0,1,0,0,0
23730,apple,other,Software Engineer,298000,1.0,0.0,ML / AI,Female,7472,807.0,1,0,0,0,0,1,0,0,0,0
23731,other,other,other,55000,10.0,7.0,API Development (Back-End),Female,1317,560.0,0,1,0,0,0,0,0,0,1,0
23732,amazon,other,Software Engineer,230000,8.0,0.0,Full Stack,Male,7053,753.0,0,0,0,0,1,0,1,0,0,0
23733,other,L1,Data Scientist,98000,0.0,0.0,ML / AI,Male,11039,623.0,0,1,0,0,0,0,1,0,0,0
23739,salesforce,other,Software Engineering Manager,524000,10.0,0.0,Distributed Systems (Back-End),Male,7419,807.0,1,0,0,0,0,1,0,0,0,0
23742,other,other,Software Engineer,147000,2.0,0.0,Distributed Systems (Back-End),Male,7416,825.0,1,0,0,0,0,1,0,0,0,0
23743,other,other,Technical Program Manager,155000,24.0,18.0,other,Male,11259,618.0,0,0,0,0,1,0,1,0,0,0
23744,intel,other,Data Scientist,147000,1.0,1.0,other,Male,10500,820.0,0,0,1,0,0,1,0,0,0,0
23745,intel,other,Hardware Engineer,85000,2.0,2.0,other,Male,7408,862.0,0,1,0,0,0,0,0,0,1,0
23746,other,other,Software Engineer,265000,11.0,2.0,API Development (Back-End),Female,7419,807.0,0,1,0,0,0,0,0,0,1,0
23747,other,other,Product Manager,420000,12.0,4.0,other,Male,7419,807.0,0,1,0,0,0,1,0,0,0,0
23748,other,other,Software Engineer,525000,18.0,0.0,other,Male,7434,807.0,1,0,0,0,0,1,0,0,0,0
23749,salesforce,other,Software Engineer,220000,10.0,1.0,other,Female,7419,807.0,1,0,0,0,0,1,0,0,0,0
23751,other,other,Solution Architect,150000,20.0,20.0,other,Male,9052,505.0,0,1,0,0,0,0,1,0,0,0
23752,microsoft,other,Product Manager,230000,5.0,5.0,other,Male,11521,819.0,0,1,0,0,0,0,0,0,0,1
23756,facebook,other,Software Engineer,334000,10.0,4.0,Web Development (Front-End),Male,10182,501.0,0,1,0,0,0,1,0,0,0,0
23759,other,other,Product Designer,172000,3.0,1.0,other,Female,7419,807.0,0,1,0,0,0,1,0,0,0,0
23760,microsoft,other,Technical Program Manager,350000,15.0,7.0,other,Male,11521,819.0,0,0,1,0,0,0,1,0,0,0
23761,other,other,Software Engineer,232000,2.0,2.0,Web Development (Front-End),Female,7419,807.0,0,1,0,0,0,1,0,0,0,0
23762,other,other,Technical Program Manager,170000,7.0,2.0,other,Female,11527,819.0,0,1,0,0,0,0,1,0,0,0
23764,other,other,Data Scientist,131000,1.0,1.0,ML / AI,Female,11527,819.0,0,0,1,0,0,1,0,0,0,0
23765,amazon,L5,Software Engineer,214000,10.0,1.0,Distributed Systems (Back-End),Male,9194,613.0,0,0,0,1,0,0,1,0,0,0
23766,ibm,other,Software Engineer,127000,6.0,3.0,Full Stack,Male,7419,807.0,0,1,0,0,0,0,0,0,0,1
23769,amazon,L5,Software Engineer,200000,1.0,1.0,Full Stack,Male,10965,635.0,0,1,0,0,0,0,1,0,0,0
23770,other,other,Software Engineer,177000,8.0,1.0,other,Male,40303,511.0,0,1,0,0,0,0,1,0,0,0
23771,other,other,Product Manager,235000,9.0,2.0,other,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
23772,other,other,Software Engineer,177000,5.0,5.0,Distributed Systems (Back-End),Male,7434,807.0,1,0,0,0,0,1,0,0,0,0
23773,other,other,Software Engineer,84000,3.0,3.0,Full Stack,Male,9364,616.0,0,1,0,0,0,0,1,0,0,0
23774,facebook,E5,Software Engineer,400000,15.0,1.0,Web Development (Front-End),Male,7300,807.0,0,1,0,0,0,1,0,0,0,0
23775,facebook,IC4,other,141000,5.0,2.0,ML / AI,Male,11527,819.0,0,1,0,0,0,0,1,0,0,0
23777,other,other,Product Designer,82000,6.0,2.0,other,Male,3651,0.0,0,0,0,1,0,0,1,0,0,0
23778,other,other,Software Engineer,180000,8.0,0.0,Distributed Systems (Back-End),Male,11470,819.0,1,0,0,0,0,0,1,0,0,0
23780,other,other,Software Engineering Manager,600000,9.0,9.0,API Development (Back-End),Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
23782,other,other,Software Engineer,105000,1.0,1.0,other,Female,7419,807.0,0,1,0,0,0,0,0,0,0,1
23783,microsoft,other,Software Engineer,193000,3.0,3.0,Distributed Systems (Back-End),Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
23784,google,L3,Software Engineer,195000,0.0,0.0,Web Development (Front-End),Male,10182,501.0,0,1,0,0,0,0,0,0,0,1
23785,other,L2,Product Manager,103000,4.0,4.0,Web Development (Front-End),Female,8198,602.0,0,1,0,0,0,0,1,0,0,0
23787,other,other,Software Engineer,225000,8.0,0.0,other,Male,7351,807.0,1,0,0,0,0,1,0,0,0,0
23788,apple,L4,Hardware Engineer,320000,7.0,0.0,other,Male,7472,807.0,0,1,0,0,0,0,1,0,0,0
23789,other,other,Data Scientist,297000,13.0,2.0,other,Female,7422,807.0,1,0,0,0,0,1,0,0,0,0
23791,intel,other,Software Engineer,154000,13.0,4.0,ML / AI,Male,10500,820.0,1,0,0,0,0,1,0,0,0,0
23792,amazon,L6,Software Engineering Manager,333000,15.0,0.0,other,Male,11527,819.0,0,0,0,0,1,0,1,0,0,0
23793,amazon,L5,Software Engineer,251000,5.0,5.0,Distributed Systems (Back-End),Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
23794,other,L3,Software Engineering Manager,325000,18.0,1.0,Full Stack,Male,10965,635.0,0,1,0,0,0,1,0,0,0,0
23796,other,other,Software Engineer,125000,5.0,5.0,Full Stack,Male,8198,602.0,0,1,0,0,0,0,1,0,0,0
23798,apple,other,Software Engineer,340000,9.0,0.0,other,Male,7158,807.0,0,0,0,0,1,0,1,0,0,0
23800,amazon,L6,Software Engineering Manager,336000,14.0,3.0,Full Stack,Male,11527,819.0,1,0,0,0,0,0,1,0,0,0
23803,other,other,Software Engineer,165000,5.0,3.0,Distributed Systems (Back-End),Male,9606,560.0,1,0,0,0,0,1,0,0,0,0
23805,other,other,Software Engineer,175000,4.0,1.0,ML / AI,Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
23808,other,other,Software Engineer,88000,12.0,1.0,Distributed Systems (Back-End),Male,3651,0.0,1,0,0,0,0,0,1,0,0,0
23811,facebook,E5,Software Engineer,281000,10.0,3.0,Web Development (Front-End),Male,12008,0.0,0,1,0,0,0,0,1,0,0,0
23813,amazon,other,Software Engineer,135000,3.0,0.0,Distributed Systems (Back-End),Male,3651,0.0,0,1,0,0,0,0,0,0,0,1
23814,oracle,other,Software Engineer,175000,1.0,0.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23815,apple,L4,Software Engineer,200000,10.0,0.0,other,Other,12008,0.0,0,1,0,0,0,0,1,0,0,0
23817,other,other,Software Engineer,178000,3.0,2.0,API Development (Back-End),Male,7422,807.0,0,1,0,0,0,1,0,0,0,0
23819,other,other,Software Engineer,197000,4.0,4.0,Data,Female,10182,501.0,0,1,0,0,0,0,1,0,0,0
23820,ibm,other,Data Scientist,74000,0.0,0.0,ML / AI,Male,12008,0.0,1,0,0,0,0,0,0,1,0,0
23821,other,other,Software Engineer,280000,10.0,0.0,other,Male,10182,501.0,0,1,0,0,0,0,0,0,0,1
23822,other,other,Software Engineer,56000,10.0,8.0,Web Development (Front-End),Male,1384,0.0,1,0,0,0,0,0,1,0,0,0
23824,amazon,L5,other,120000,7.0,2.0,Distributed Systems (Back-End),Male,7548,751.0,0,1,0,0,0,0,1,0,0,0
23827,other,other,Software Engineer,410000,11.0,0.0,Web Development (Front-End),Male,7419,807.0,1,0,0,0,0,0,0,0,0,1
23828,other,other,Software Engineer,265000,5.0,1.0,Distributed Systems (Back-End),Male,7419,807.0,1,0,0,0,0,1,0,0,0,0
23829,other,other,Product Designer,195000,10.0,2.0,other,Female,12008,0.0,0,1,0,0,0,0,0,1,0,0
23832,other,other,Product Designer,101000,4.0,1.0,other,Male,10646,504.0,0,1,0,0,0,0,1,0,0,0
23833,amazon,L5,Solution Architect,240000,5.0,2.0,ML / AI,Male,8816,506.0,0,1,0,0,0,0,1,0,0,0
23835,microsoft,other,Software Engineer,128000,3.0,3.0,Full Stack,Male,11521,819.0,0,1,0,0,0,0,1,0,0,0
23840,microsoft,other,Software Engineer,139000,4.0,1.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23842,other,other,Software Engineer,25000,4.0,0.0,other,Male,1384,0.0,0,1,0,0,0,0,1,0,0,0
23843,amazon,L4,Software Engineer,161000,1.0,1.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23844,other,other,Software Engineer,145000,6.0,2.0,other,Male,12391,511.0,0,0,0,1,0,0,1,0,0,0
23845,other,other,Software Engineer,50000,9.0,1.0,Distributed Systems (Back-End),Male,13147,0.0,0,1,0,0,0,1,0,0,0,0
23846,microsoft,other,Software Engineer,175000,1.0,1.0,other,Male,11521,819.0,1,0,0,0,0,0,1,0,0,0
23849,other,other,Technical Program Manager,276000,10.0,1.0,Full Stack,Female,7419,807.0,0,0,0,0,1,0,0,0,1,0
23850,other,L1,Software Engineer,112000,1.0,1.0,API Development (Back-End),Male,8816,506.0,0,1,0,0,0,0,1,0,0,0
23853,other,other,Software Engineer,188000,5.0,3.0,ML / AI,Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
23854,other,other,Product Manager,204000,17.0,9.0,other,Male,10182,501.0,0,1,0,0,0,0,0,0,1,0
23855,amazon,L7,Product Manager,505000,13.0,0.0,other,Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
23856,other,other,Software Engineer,245000,12.0,1.0,Full Stack,Male,7419,807.0,1,0,0,0,0,1,0,0,0,0
23858,amazon,other,Software Engineer,340000,8.0,8.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
23861,other,other,Software Engineer,184000,20.0,1.0,other,Male,7434,807.0,1,0,0,0,0,1,0,0,0,0
23862,other,other,Software Engineer,257000,4.0,0.0,other,Male,7322,807.0,0,1,0,0,0,1,0,0,0,0
23865,facebook,other,Software Engineer,236000,6.0,2.0,Full Stack,Male,11527,819.0,0,0,1,0,0,1,0,0,0,0
23867,other,other,Software Engineer,89000,8.0,8.0,Full Stack,Male,11470,819.0,0,1,0,0,0,0,1,0,0,0
23868,amazon,L5,Software Engineer,202000,6.0,4.0,API Development (Back-End),Male,10522,820.0,0,1,0,0,0,0,1,0,0,0
23869,other,other,Data Scientist,152000,5.0,1.0,ML / AI,Male,11521,819.0,1,0,0,0,0,1,0,0,0,0
23872,other,Senior Software Engineer,Software Engineer,320000,6.0,2.0,Distributed Systems (Back-End),Male,7419,807.0,0,0,1,0,0,0,0,0,0,1
23873,other,other,Management Consultant,68000,3.0,2.0,other,Female,11342,511.0,0,1,0,0,0,1,0,0,0,0
23875,other,other,Software Engineer,86000,4.0,0.0,Web Development (Front-End),Male,3583,0.0,1,0,0,0,0,0,1,0,0,0
23877,microsoft,other,Software Engineer,168000,6.0,1.0,other,Male,15900,0.0,0,1,0,0,0,0,1,0,0,0
